# ANNOTATION label vol Imax Iavg Istd lx2 ly2 lz2 Rg asph acyl kappa Lmax Lmin Vrs Vre
1 1.4174500000000000e+05 3.0000000000000000e+02 1.2948484420776367e+00 1.1132448911666870e+00 4.0450662374496460e-02 1.8814878463745117e+00 3.7058315277099609e+00 7.6025672912597656e+01 9.0339908599853516e+00 7.3232009887695312e+01 1.8243435621261597e+00 8.0553686618804932e-01 3.0839990615844727e+01 8.0597028732299805e+00 4.5146137475967407e-02 2.7823001146316528e-01
1 1.4174600000000000e+05 3.0000000000000000e+02 2.2131710052490234e+00 1.3339956998825073e+00 1.9788014888763428e-01 9.3343693017959595e-01 1.6442362070083618e+00 7.7328941345214844e+01 8.9390497207641602e+00 7.6040100097656250e+01 7.1079933643341064e-01 9.0562504529953003e-01 3.6850894927978516e+01 6.4829120635986328e+00 4.6599950641393661e-02 5.8800637722015381e-01
0 1.4174700000000000e+05 3.0000000000000000e+02 1.4050539731979370e+00 1.1304930448532104e+00 4.8685703426599503e-02 2.6359224319458008e+00 7.8611893653869629e+00 1.2651979827880859e+02 1.1705422401428223e+01 1.2127124023437500e+02 5.2252669334411621e+00 7.8446143865585327e-01 3.9887229919433594e+01 1.0479049682617188e+01 2.0753830671310425e-02 1.2510882318019867e-01
0 1.4174800000000000e+05 3.0000000000000000e+02 1.3512941598892212e+00 1.1575703620910645e+00 5.4328963160514832e-02 2.8284392356872559e+00 1.7261896133422852e+01 3.6131240844726562e+01 7.4981050491333008e+00 2.6086074829101562e+01 1.4433457374572754e+01 2.6471444964408875e-01 2.1469200134277344e+01 1.6981927871704102e+01 7.8959606587886810e-02 1.5251709520816803e-01
0 1.4174900000000000e+05 3.0000000000000000e+02 1.2460345029830933e+00 1.1810811758041382e+00 2.4935638532042503e-02 8.5203605890274048e-01 1.8512954711914062e+00 6.8494010925292969e+01 8.4378519058227539e+00 6.7142349243164062e+01 9.9925947189331055e-01 8.8948285579681396e-01 3.1304889678955078e+01 5.6392397880554199e+00 5.5406898260116577e-02 6.1628907918930054e-01
0 1.4175000000000000e+05 3.0000000000000000e+02 2.2400906085968018e+00 1.2810968160629272e+00 1.5671689808368683e-01 1.1201927661895752e+00 1.8727107048034668e+00 9.4423126220703125e+01 9.8699560165405273e+00 9.2926681518554688e+01 7.5251787900924683e-01 9.0999978780746460e-01 3.5322654724121094e+01 6.8899068832397461e+00 3.4618947654962540e-02 4.5515227317810059e-01
0 1.4175100000000000e+05 3.0000000000000000e+02 1.2095215320587158e+00 1.1237109899520874e+00 3.1366366893053055e-02 1.8463004827499390e+00 1.0746751785278320e+01 1.0344221496582031e+02 1.0771966934204102e+01 9.7145690917968750e+01 8.9004516601562500e+00 7.0533043146133423e-01 3.3476638793945312e+01 1.4703848838806152e+01 2.6630206033587456e-02 1.4139658212661743e-01
1 1.4175200000000000e+05 3.0000000000000000e+02 1.5478839874267578e+00 1.1605846881866455e+00 7.7458970248699188e-02 2.2202658653259277e+00 1.3592246055603027e+01 3.7890365600585938e+01 7.3282246589660645e+00 2.9984109878540039e+01 1.1371979713439941e+01 3.4536707401275635e-01 2.5542297363281250e+01 1.6145597457885742e+01 8.4579125046730042e-02 1.8943715095520020e-01
1 1.4175300000000000e+05 3.0000000000000000e+02 3.1652717590332031e+00 1.4987773895263672e+00 3.4628006815910339e-01 8.1373751163482666e-01 2.9358358383178711e+00 1.0400970458984375e+02 1.0380716323852539e+01 1.0213491821289062e+02 2.1220984458923340e+00 8.9862757921218872e-01 4.5045112609863281e+01 8.2054815292358398e+00 2.9756203293800354e-02 4.0638032555580139e-01
0 1.4175400000000000e+05 3.0100000000000000e+02 1.4812852144241333e+00 1.1951479911804199e+00 7.3549039661884308e-02 1.5712623596191406e+00 6.3272151947021484e+00 7.4769531250000000e+01 9.0921945571899414e+00 7.0820289611816406e+01 4.7559528350830078e+00 7.3638838529586792e-01 2.9780815124511719e+01 1.0706046104431152e+01 4.4432278722524643e-02 2.3573817312717438e-01
